decided_at,action,target,severity,confidence,automated,rationale
2026-05-29T14:01:37.168406Z,replace_certificate,api.fintrust-bank.com,critical,0.99,True,Expired 19 day(s) ago — production traffic is at risk.
2026-05-29T14:01:37.168450Z,plan_pqc_migration,api.fintrust-bank.com,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168603Z,trigger_renewal,payments.fintrust-bank.com,critical,0.95,True,Expires in 1 day(s); auto-renew via HSM-signed CSR.
2026-05-29T14:01:37.168649Z,schedule_renewal,portal.healthcorp.example,high,0.9,False,Expires in 27 day(s); within 45-day window.
2026-05-29T14:01:37.168701Z,plan_pqc_migration,portal.healthcorp.example,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168715Z,schedule_renewal,secure-ftp.logistico.example,high,0.9,False,Expires in 37 day(s); within 45-day window.
2026-05-29T14:01:37.168748Z,plan_pqc_migration,secure-ftp.logistico.example,medium,0.85,False,EC-secp384r1-384 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168820Z,plan_pqc_migration,legacy.intranet.example,medium,0.85,False,RSA-1024 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168927Z,plan_pqc_migration,edge.fintrust-bank.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168942Z,plan_pqc_migration,www.cloudflare.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168949Z,plan_pqc_migration,www.google.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.168957Z,plan_pqc_migration,www.microsoft.com,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-05-29T14:01:37.170113Z,harden_filtered_port,127.0.0.1:1,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/1 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
2026-05-29T14:01:37.170185Z,harden_filtered_port,127.0.0.1:2,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/2 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
2026-05-29T14:01:37.170329Z,harden_filtered_port,127.0.0.1:3,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/3 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
